States,Murder,Assault,Urban population (%)
Alabama,13.2,236,58
Alaska,10,263,48
Arizona,8.1,294,80
Arkansas,8.8,190,50
California,9,276,91
Colorado,7.9,204,78
Connecticut,3.3,110,77
Delaware,5.9,238,72
Florida,15.4,335,80
Georgia,17.4,,60
Hawaii,5.3,46,83
Idaho,2.6,120,54
Illinois,10.4,249,83
Indiana,7.2,113,65
Iowa,2.2,56,570
Kansas,6,115,66
Kentucky,9.7,109,52
Louisiana,15.4,249,66
Maine,2.1,83,51
Maryland,11.3,300,67
Massachusetts,4.4,149,85
Michigan,12.1,255,74
Minnesota,2.7,72,66
Mississippi,16.1,259,44
Missouri,9,178,70
Montana,6,109,53
Nebraska,4.3,102,62
Nevada,12.2,252,81
New Hampshire,2.1,57,56
New Jersey,7.4,159,89
New Mexico,11.4,285,70
New York,1 1.1,254,6
North Carolina,13,337,45
North Dakota,0.8,45,44
Ohio,7.3,120,75
Oklahoma,6.6,151,68
Oregon,4.9,159,67
Pennsylvania,6.3,106,72
Rhode Island,3.4,174,87
South Carolina,14.4,879,48
South Dakota,3.8,86,45
Tennessee,13.2,188,59
Texas,12.7,201,80
Utah,3.2,120,80
Vermont,2.2,48,32
Virginia,8.5,156,63
Washington,4,145,73
West Virginia,5.7,81,39
Wisconsin,2.6,53,66
Wyoming,6.8,161,60
